"Group","Category","Members","Status","Attempts","Member reads","Clicks","Media views","Interactions","Error code","Error"
"Panchkula Circle 3 - Emergency Response","Emergency Response","995","read","1","517","0","0","0","",""
"Rohtak Ward 1 - Emergency Response","Emergency Response","628","read","1","296","0","0","0","",""
"Amritsar Block 56 - Emergency Response","Emergency Response","239","delivered","1","0","0","0","0","",""
"Shimla Forum 47 - Emergency Response","Emergency Response","927","read","1","684","3","0","1","",""
"Hisar Circle 27 - Emergency Response","Emergency Response","918","delivered","1","0","0","0","0","",""
"Rohtak Chapter 59 - Emergency Response","Emergency Response","660","read","1","272","0","0","0","",""
"Patiala Network 52 - Emergency Response","Emergency Response","180","delivered","1","0","0","0","0","",""
"Rohtak Sector 44 - Emergency Response","Emergency Response","207","read","1","69","0","0","0","",""
"Bhiwani Forum 19 - Emergency Response","Emergency Response","392","failed","1","0","0","0","0","131047","Re-engagement message required"
"Kota Unit 34 - Emergency Response","Emergency Response","434","read","1","298","0","0","1","",""
"Sirsa Network 27 - Emergency Response","Emergency Response","925","read","1","342","0","0","0","",""
"Faridabad Circle 60 - Emergency Response","Emergency Response","488","failed","3","0","0","0","0","131056","Pair rate limit hit"
"Hisar Circle 46 - Emergency Response","Emergency Response","379","read","1","127","0","0","0","",""
"Jalandhar Network 13 - Emergency Response","Emergency Response","495","read","1","241","0","0","0","",""
"Jaipur Network 36 - Emergency Response","Emergency Response","726","failed","3","0","0","0","0","131000","Something went wrong"
"Patiala Forum 19 - Emergency Response","Emergency Response","390","read","1","145","3","0","0","",""
"Ludhiana Sector 3 - Emergency Response","Emergency Response","752","read","1","225","3","0","0","",""
"Meerut Ward 57 - Emergency Response","Emergency Response","266","read","1","133","0","0","0","",""
"Dehradun Forum 37 - Emergency Response","Emergency Response","27","read","1","21","0","0","0","",""
"Rohtak Block 37 - Emergency Response","Emergency Response","766","delivered","1","0","0","0","0","",""
"Jaipur Forum 28 - Emergency Response","Emergency Response","475","read","1","335","0","0","0","",""
"Meerut Circle 28 - Emergency Response","Emergency Response","785","read","1","370","0","0","0","",""
"Karnal Sector 50 - Emergency Response","Emergency Response","40","delivered","1","0","0","0","0","",""
"Agra Council 11 - Emergency Response","Emergency Response","307","read","1","142","0","0","0","",""
"Noida Unit 7 - Emergency Response","Emergency Response","360","read","1","177","0","0","0","",""
"Sirsa Circle 7 - Emergency Response","Emergency Response","880","read","1","296","0","0","0","",""
"Karnal Chapter 10 - Emergency Response","Emergency Response","680","read","1","407","0","0","0","",""
"Ambala Network 24 - Emergency Response","Emergency Response","459","delivered","1","0","0","0","0","",""
"Sonipat Forum 59 - Emergency Response","Emergency Response","183","read","1","153","0","0","0","",""
"Patiala Sector 37 - Emergency Response","Emergency Response","63","read","1","52","0","0","0","",""
"Gurugram Sector 3 - Emergency Response","Emergency Response","916","read","1","711","0","0","0","",""
"Amritsar Circle 47 - Emergency Response","Emergency Response","912","delivered","1","0","0","0","0","",""
"Dehradun Cell 25 - Emergency Response","Emergency Response","844","read","1","335","0","0","0","",""
"Amritsar Sector 56 - Emergency Response","Emergency Response","999","read","1","327","0","0","0","",""
"Noida Circle 57 - Emergency Response","Emergency Response","566","failed","1","0","0","0","0","131049","Not delivered to maintain healthy ecosystem engagement"
"Yamunanagar Ward 27 - Emergency Response","Emergency Response","238","read","1","192","0","0","0","",""
"Noida Circle 47 - Emergency Response","Emergency Response","396","read","1","295","0","0","0","",""
"Amritsar Circle 27 - Emergency Response","Emergency Response","828","read","1","446","0","0","0","",""
"Jalandhar Forum 45 - Emergency Response","Emergency Response","359","read","1","96","0","0","0","",""
"Ludhiana Sector 55 - Emergency Response","Emergency Response","687","read","1","271","3","0","0","",""
"Ambala Ward 52 - Emergency Response","Emergency Response","490","read","1","385","0","0","0","",""
"Yamunanagar Council 41 - Emergency Response","Emergency Response","174","read","1","129","0","0","0","",""
"Karnal Cell 50 - Emergency Response","Emergency Response","783","read","1","308","2","0","0","",""
"Haridwar Unit 1 - Emergency Response","Emergency Response","300","delivered","1","0","0","0","0","",""
"Kota Cell 9 - Emergency Response","Emergency Response","446","read","1","359","3","0","0","",""
"Gurugram Unit 45 - Emergency Response","Emergency Response","983","read","1","549","0","0","0","",""
"Shimla Unit 22 - Emergency Response","Emergency Response","543","read","1","164","0","0","0","",""
"Jaipur Sector 17 - Emergency Response","Emergency Response","304","delivered","1","0","0","0","0","",""
"Haridwar Sector 48 - Emergency Response","Emergency Response","779","read","1","219","2","0","0","",""
"Amritsar Network 51 - Emergency Response","Emergency Response","182","read","1","150","0","0","0","",""
"Panchkula Sector 4 - Emergency Response","Emergency Response","45","delivered","1","0","0","0","0","",""
"Solan Forum 50 - Emergency Response","Emergency Response","824","read","1","489","0","0","0","",""
"Amritsar Network 38 - Emergency Response","Emergency Response","85","read","1","23","0","0","0","",""
"Dehradun Ward 16 - Emergency Response","Emergency Response","334","delivered","1","0","0","0","0","",""
"Rohtak Network 5 - Emergency Response","Emergency Response","658","delivered","1","0","0","0","0","",""
"Sonipat Ward 46 - Emergency Response","Emergency Response","396","read","1","222","0","0","0","",""
"Ambala Chapter 39 - Emergency Response","Emergency Response","375","read","1","164","0","0","0","",""
"Solan Sector 23 - Emergency Response","Emergency Response","779","read","1","387","0","0","0","",""
"Hisar Network 17 - Emergency Response","Emergency Response","113","delivered","1","0","0","0","0","",""
"Solan Circle 9 - Emergency Response","Emergency Response","953","read","1","515","0","0","0","",""
"Agra Council 9 - Emergency Response","Emergency Response","73","read","1","47","0","0","0","",""
"Kota Network 33 - Emergency Response","Emergency Response","564","read","1","335","0","0","0","",""
"Sirsa Chapter 42 - Emergency Response","Emergency Response","33","read","1","9","0","0","0","",""
"Sirsa Sector 12 - Emergency Response","Emergency Response","242","read","1","88","0","0","0","",""
"Yamunanagar Chapter 38 - Emergency Response","Emergency Response","465","delivered","1","0","0","0","0","",""
"Solan Unit 21 - Emergency Response","Emergency Response","113","delivered","1","0","0","0","0","",""
"Patiala Block 28 - Emergency Response","Emergency Response","760","delivered","1","0","0","0","0","",""
"Jalandhar Block 28 - Emergency Response","Emergency Response","953","read","1","571","0","0","0","",""
"Jalandhar Unit 56 - Emergency Response","Emergency Response","986","delivered","1","0","0","0","0","",""
"Ambala Forum 56 - Emergency Response","Emergency Response","922","delivered","1","0","0","0","0","",""
"Kota Unit 19 - Emergency Response","Emergency Response","303","read","1","234","0","0","1","",""
"Dehradun Network 36 - Emergency Response","Emergency Response","949","read","1","313","0","0","0","",""
"Jaipur Forum 37 - Emergency Response","Emergency Response","43","read","1","26","2","0","0","",""
"Jaipur Cell 56 - Emergency Response","Emergency Response","1022","read","1","502","0","0","0","",""
"Sonipat Sector 41 - Emergency Response","Emergency Response","541","delivered","1","0","0","0","0","",""
"Sirsa Forum 31 - Emergency Response","Emergency Response","614","read","1","456","0","0","0","",""
"Solan Network 46 - Emergency Response","Emergency Response","263","delivered","1","0","0","0","0","",""
"Ludhiana Network 54 - Emergency Response","Emergency Response","758","read","1","634","0","0","0","",""
"Panchkula Block 4 - Emergency Response","Emergency Response","942","read","1","796","2","0","0","",""
"Shimla Sector 36 - Emergency Response","Emergency Response","648","read","1","240","0","0","0","",""
"Rohtak Chapter 4 - Emergency Response","Emergency Response","850","read","1","508","0","0","0","",""
"Kota Sector 18 - Emergency Response","Emergency Response","362","read","1","196","0","0","0","",""
"Gurugram Ward 36 - Emergency Response","Emergency Response","508","read","1","313","0","0","1","",""
"Patiala Block 46 - Emergency Response","Emergency Response","985","read","1","650","0","0","0","",""
"Panchkula Cell 25 - Emergency Response","Emergency Response","261","read","1","127","0","0","0","",""
"Ludhiana Cell 31 - Emergency Response","Emergency Response","867","read","1","280","0","0","0","",""
"Jalandhar Sector 8 - Emergency Response","Emergency Response","499","read","1","279","0","0","0","",""
"Yamunanagar Network 35 - Emergency Response","Emergency Response","670","delivered","1","0","0","0","0","",""
"Noida Council 20 - Emergency Response","Emergency Response","341","failed","3","0","0","0","0","131056","Pair rate limit hit"
"Solan Circle 56 - Emergency Response","Emergency Response","952","delivered","1","0","0","0","0","",""
"Noida Cell 34 - Emergency Response","Emergency Response","918","failed","3","0","0","0","0","131000","Something went wrong"
"Panchkula Unit 52 - Emergency Response","Emergency Response","577","read","1","206","0","0","0","",""
"Jaipur Block 50 - Emergency Response","Emergency Response","677","read","1","262","2","0","0","",""
"Amritsar Network 44 - Emergency Response","Emergency Response","974","delivered","1","0","0","0","0","",""
"Karnal Circle 51 - Emergency Response","Emergency Response","840","delivered","1","0","0","0","0","",""
"Faridabad Sector 49 - Emergency Response","Emergency Response","483","delivered","1","0","0","0","0","",""
"Jaipur Ward 30 - Emergency Response","Emergency Response","645","delivered","1","0","0","0","0","",""
"Faridabad Cell 1 - Emergency Response","Emergency Response","699","read","1","322","0","0","0","",""
"Rohtak Block 4 - Emergency Response","Emergency Response","553","read","1","245","0","0","0","",""
"Meerut Network 33 - Emergency Response","Emergency Response","39","read","1","28","0","0","1","",""
"Noida Forum 13 - Emergency Response","Emergency Response","339","delivered","1","0","0","0","0","",""
"Panchkula Council 1 - Emergency Response","Emergency Response","374","read","1","100","0","0","0","",""
"Haridwar Block 10 - Emergency Response","Emergency Response","284","read","1","235","0","0","0","",""
"Jaipur Sector 21 - Emergency Response","Emergency Response","446","read","1","365","0","0","0","",""
"Noida Council 31 - Emergency Response","Emergency Response","490","read","1","387","0","0","0","",""
"Jalandhar Ward 38 - Emergency Response","Emergency Response","827","delivered","1","0","0","0","0","",""
"Bhiwani Block 6 - Emergency Response","Emergency Response","962","read","1","575","2","0","0","",""
"Dehradun Circle 27 - Emergency Response","Emergency Response","471","delivered","1","0","0","0","0","",""
"Panchkula Block 40 - Emergency Response","Emergency Response","756","read","1","237","0","0","1","",""
"Karnal Network 58 - Emergency Response","Emergency Response","393","read","1","163","0","0","0","",""
"Bhiwani Network 14 - Emergency Response","Emergency Response","946","delivered","1","0","0","0","0","",""
"Amritsar Forum 40 - Emergency Response","Emergency Response","915","read","1","416","0","0","0","",""
"Sirsa Network 9 - Emergency Response","Emergency Response","485","delivered","1","0","0","0","0","",""
"Agra Block 25 - Emergency Response","Emergency Response","317","read","1","229","0","0","0","",""
"Jaipur Sector 29 - Emergency Response","Emergency Response","615","delivered","1","0","0","0","0","",""
"Sirsa Unit 11 - Emergency Response","Emergency Response","179","delivered","1","0","0","0","0","",""
"Ludhiana Chapter 60 - Emergency Response","Emergency Response","102","delivered","1","0","0","0","0","",""
"Agra Cell 53 - Emergency Response","Emergency Response","323","read","1","153","0","0","0","",""
"Faridabad Cell 32 - Emergency Response","Emergency Response","757","read","1","444","0","0","0","",""
"Patiala Unit 59 - Emergency Response","Emergency Response","462","read","1","341","1","0","0","",""
"Haridwar Unit 40 - Emergency Response","Emergency Response","877","read","1","532","1","0","0","",""
"Amritsar Ward 18 - Emergency Response","Emergency Response","120","delivered","1","0","0","0","0","",""
"Ambala Forum 23 - Emergency Response","Emergency Response","73","read","1","41","1","0","0","",""
"Noida Ward 10 - Emergency Response","Emergency Response","259","delivered","1","0","0","0","0","",""
"Ambala Sector 50 - Emergency Response","Emergency Response","893","delivered","1","0","0","0","0","",""
"Ambala Cell 1 - Emergency Response","Emergency Response","571","read","1","158","0","0","0","",""
"Hisar Block 31 - Emergency Response","Emergency Response","527","delivered","1","0","0","0","0","",""
"Shimla Circle 4 - Emergency Response","Emergency Response","904","read","1","640","0","0","0","",""
"Kota Network 9 - Emergency Response","Emergency Response","883","read","1","268","0","0","0","",""
"Panchkula Forum 21 - Emergency Response","Emergency Response","722","read","1","352","3","0","0","",""
"Kota Cell 38 - Emergency Response","Emergency Response","648","delivered","1","0","0","0","0","",""
"Amritsar Block 32 - Emergency Response","Emergency Response","61","delivered","1","0","0","0","0","",""
"Sirsa Block 15 - Emergency Response","Emergency Response","962","read","1","532","0","0","0","",""
"Shimla Block 51 - Emergency Response","Emergency Response","332","read","1","138","0","0","0","",""
"Noida Block 26 - Emergency Response","Emergency Response","746","read","1","435","3","0","0","",""
"Agra Circle 29 - Emergency Response","Emergency Response","714","failed","3","0","0","0","0","130429","Rate limit hit"
"Jalandhar Ward 5 - Emergency Response","Emergency Response","468","read","1","275","0","0","1","",""
"Solan Block 9 - Emergency Response","Emergency Response","372","read","1","181","0","0","0","",""
"Ambala Block 4 - Emergency Response","Emergency Response","627","read","1","213","0","0","1","",""
"Dehradun Network 18 - Emergency Response","Emergency Response","854","delivered","1","0","0","0","0","",""
"Ambala Ward 55 - Emergency Response","Emergency Response","49","read","1","13","0","0","0","",""
"Shimla Forum 27 - Emergency Response","Emergency Response","201","delivered","1","0","0","0","0","",""
"Rohtak Forum 59 - Emergency Response","Emergency Response","743","delivered","1","0","0","0","0","",""
"Jalandhar Circle 50 - Emergency Response","Emergency Response","927","read","1","398","3","0","0","",""
"Sirsa Block 3 - Emergency Response","Emergency Response","569","delivered","1","0","0","0","0","",""
"Sirsa Cell 4 - Emergency Response","Emergency Response","995","read","1","695","0","0","0","",""
"Solan Block 4 - Emergency Response","Emergency Response","372","read","1","147","2","0","0","",""
"Panchkula Network 12 - Emergency Response","Emergency Response","350","read","1","251","0","0","0","",""
"Faridabad Chapter 7 - Emergency Response","Emergency Response","431","read","1","193","0","0","0","",""
"Bhiwani Unit 17 - Emergency Response","Emergency Response","338","read","1","97","0","0","0","",""
"Hisar Sector 23 - Emergency Response","Emergency Response","950","read","1","636","0","0","0","",""
"Gurugram Network 43 - Emergency Response","Emergency Response","575","failed","1","0","0","0","0","133010","Destination not registered"
"Rohtak Chapter 38 - Emergency Response","Emergency Response","978","read","1","478","0","0","0","",""
"Noida Unit 11 - Emergency Response","Emergency Response","523","read","1","419","0","0","0","",""
"Meerut Sector 19 - Emergency Response","Emergency Response","41","read","1","23","0","0","0","",""
"Agra Ward 60 - Emergency Response","Emergency Response","766","read","1","515","0","0","0","",""
"Noida Chapter 6 - Emergency Response","Emergency Response","320","read","1","244","0","0","0","",""
"Sirsa Ward 53 - Emergency Response","Emergency Response","771","delivered","1","0","0","0","0","",""
"Gurugram Unit 13 - Emergency Response","Emergency Response","795","delivered","1","0","0","0","0","",""
"Hisar Unit 53 - Emergency Response","Emergency Response","45","delivered","1","0","0","0","0","",""
"Dehradun Sector 41 - Emergency Response","Emergency Response","253","read","1","115","0","0","1","",""
"Kota Circle 15 - Emergency Response","Emergency Response","797","delivered","1","0","0","0","0","",""
"Ambala Unit 7 - Emergency Response","Emergency Response","384","delivered","1","0","0","0","0","",""
"Dehradun Ward 32 - Emergency Response","Emergency Response","327","delivered","1","0","0","0","0","",""
"Sonipat Circle 39 - Emergency Response","Emergency Response","386","read","1","123","0","0","0","",""
"Solan Chapter 32 - Emergency Response","Emergency Response","575","delivered","1","0","0","0","0","",""
"Bhiwani Unit 46 - Emergency Response","Emergency Response","162","read","1","107","0","0","0","",""
"Agra Network 33 - Emergency Response","Emergency Response","443","read","1","199","0","0","0","",""
"Karnal Network 28 - Emergency Response","Emergency Response","817","delivered","1","0","0","0","0","",""
"Patiala Chapter 58 - Emergency Response","Emergency Response","1020","read","1","834","0","0","0","",""
"Kota Block 12 - Emergency Response","Emergency Response","828","read","1","269","0","0","0","",""
"Jaipur Forum 13 - Emergency Response","Emergency Response","723","read","1","582","0","0","0","",""
"Haridwar Circle 20 - Emergency Response","Emergency Response","223","read","1","117","2","0","0","",""
"Bhiwani Sector 50 - Emergency Response","Emergency Response","410","delivered","1","0","0","0","0","",""
"Yamunanagar Ward 59 - Emergency Response","Emergency Response","597","read","1","246","0","0","0","",""
"Solan Sector 32 - Emergency Response","Emergency Response","201","read","1","96","0","0","0","",""
"Dehradun Network 58 - Emergency Response","Emergency Response","42","read","1","21","0","0","0","",""
"Faridabad Ward 50 - Emergency Response","Emergency Response","653","read","1","467","3","0","0","",""
"Bhiwani Network 34 - Emergency Response","Emergency Response","537","read","1","307","0","0","0","",""
"Hisar Cell 15 - Emergency Response","Emergency Response","794","read","1","377","0","0","0","",""
"Patiala Unit 27 - Emergency Response","Emergency Response","322","read","1","91","0","0","0","",""
"Karnal Council 56 - Emergency Response","Emergency Response","446","delivered","1","0","0","0","0","",""
"Kota Cell 41 - Emergency Response","Emergency Response","72","delivered","1","0","0","0","0","",""
"Jaipur Circle 35 - Emergency Response","Emergency Response","760","delivered","1","0","0","0","0","",""
"Gurugram Cell 46 - Emergency Response","Emergency Response","534","read","1","146","0","0","0","",""
"Sonipat Forum 36 - Emergency Response","Emergency Response","928","read","1","349","0","0","0","",""
"Faridabad Network 1 - Emergency Response","Emergency Response","927","read","1","472","0","0","0","",""
"Sirsa Ward 47 - Emergency Response","Emergency Response","665","delivered","1","0","0","0","0","",""
"Ludhiana Ward 1 - Emergency Response","Emergency Response","806","read","1","560","0","0","0","",""
"Sonipat Network 30 - Emergency Response","Emergency Response","575","read","1","358","0","0","0","",""
"Gurugram Circle 49 - Emergency Response","Emergency Response","141","read","1","103","0","0","0","",""
"Sonipat Council 41 - Emergency Response","Emergency Response","995","failed","3","0","0","0","0","130429","Rate limit hit"
"Patiala Cell 51 - Emergency Response","Emergency Response","997","delivered","1","0","0","0","0","",""
"Patiala Block 45 - Emergency Response","Emergency Response","878","read","1","617","0","0","0","",""
"Yamunanagar Sector 54 - Emergency Response","Emergency Response","612","read","1","167","0","0","0","",""
"Panchkula Circle 43 - Emergency Response","Emergency Response","523","read","1","396","0","0","0","",""
"Shimla Block 11 - Emergency Response","Emergency Response","861","read","1","465","0","0","0","",""
"Hisar Circle 25 - Emergency Response","Emergency Response","766","failed","1","0","0","0","0","131049","Not delivered to maintain healthy ecosystem engagement"
"Amritsar Sector 7 - Emergency Response","Emergency Response","359","delivered","1","0","0","0","0","",""
"Jaipur Forum 54 - Emergency Response","Emergency Response","505","read","1","170","0","0","0","",""
"Gurugram Forum 22 - Emergency Response","Emergency Response","727","read","1","513","0","0","0","",""
"Ambala Network 38 - Emergency Response","Emergency Response","759","delivered","1","0","0","0","0","",""
"Shimla Ward 46 - Emergency Response","Emergency Response","510","read","1","403","0","0","0","",""
"Jaipur Council 19 - Emergency Response","Emergency Response","148","delivered","1","0","0","0","0","",""
"Kota Forum 53 - Emergency Response","Emergency Response","505","read","1","250","0","0","0","",""
"Hisar Circle 18 - Emergency Response","Emergency Response","801","read","1","349","0","0","0","",""
"Yamunanagar Chapter 11 - Emergency Response","Emergency Response","343","read","1","89","0","0","0","",""
"Yamunanagar Sector 14 - Emergency Response","Emergency Response","662","read","1","432","0","0","0","",""
"Haridwar Forum 22 - Emergency Response","Emergency Response","404","read","1","276","3","0","0","",""
"Hisar Forum 51 - Emergency Response","Emergency Response","796","read","1","214","0","0","0","",""
"Hisar Unit 20 - Emergency Response","Emergency Response","678","read","1","405","0","0","0","",""
"Shimla Forum 37 - Emergency Response","Emergency Response","937","read","1","510","0","0","0","",""
"Kota Chapter 26 - Emergency Response","Emergency Response","866","delivered","1","0","0","0","0","",""
"Dehradun Forum 41 - Emergency Response","Emergency Response","517","read","1","419","0","0","0","",""
"Solan Block 2 - Emergency Response","Emergency Response","477","delivered","1","0","0","0","0","",""
"Meerut Circle 32 - Emergency Response","Emergency Response","530","read","1","305","0","0","1","",""
"Jalandhar Chapter 3 - Emergency Response","Emergency Response","272","read","1","175","0","0","0","",""
"Yamunanagar Sector 27 - Emergency Response","Emergency Response","972","delivered","1","0","0","0","0","",""
"Patiala Council 51 - Emergency Response","Emergency Response","961","read","1","515","3","0","0","",""
"Patiala Cell 42 - Emergency Response","Emergency Response","395","delivered","1","0","0","0","0","",""
"Ludhiana Council 45 - Emergency Response","Emergency Response","582","read","1","446","0","0","0","",""
"Karnal Network 14 - Emergency Response","Emergency Response","313","read","1","91","0","0","0","",""
"Agra Circle 4 - Emergency Response","Emergency Response","652","read","1","368","0","0","0","",""
"Dehradun Chapter 29 - Emergency Response","Emergency Response","241","read","1","90","0","0","0","",""
"Amritsar Circle 51 - Emergency Response","Emergency Response","623","read","1","291","0","0","1","",""
"Kota Unit 39 - Emergency Response","Emergency Response","67","read","1","40","0","0","1","",""
"Karnal Circle 57 - Emergency Response","Emergency Response","186","read","1","90","0","0","0","",""
"Ludhiana Cell 21 - Emergency Response","Emergency Response","620","read","1","514","0","0","0","",""
"Noida Circle 5 - Emergency Response","Emergency Response","229","delivered","1","0","0","0","0","",""
"Panchkula Cell 47 - Emergency Response","Emergency Response","388","read","1","128","0","0","0","",""
"Haridwar Sector 32 - Emergency Response","Emergency Response","401","read","1","144","0","0","0","",""
"Haridwar Unit 44 - Emergency Response","Emergency Response","989","delivered","1","0","0","0","0","",""
"Bhiwani Network 8 - Emergency Response","Emergency Response","98","delivered","1","0","0","0","0","",""
"Karnal Network 11 - Emergency Response","Emergency Response","658","read","1","238","0","0","0","",""
"Gurugram Ward 14 - Emergency Response","Emergency Response","556","read","1","160","1","0","0","",""
"Yamunanagar Cell 33 - Emergency Response","Emergency Response","25","delivered","1","0","0","0","0","",""
"Meerut Chapter 47 - Emergency Response","Emergency Response","147","read","1","109","0","0","0","",""
"Agra Chapter 14 - Emergency Response","Emergency Response","800","read","1","512","0","0","1","",""
"Noida Forum 60 - Emergency Response","Emergency Response","261","delivered","1","0","0","0","0","",""
